,storeNum,Year,Week,product1sales,product2sales,product1price,product2price,product1promo,product2promo,country
1,101,1,1,127,106,2.29,2.29,0,0,US
2,101,1,2,137,105,2.49,2.49,0,0,US
3,101,1,3,156,97,2.99,2.99,1,0,US
4,101,1,4,117,106,2.99,3.19,0,0,US
5,101,1,5,138,100,2.49,2.59,0,1,US
6,101,1,6,115,127,2.79,2.49,0,0,US
7,101,1,7,116,90,2.99,3.19,0,0,US
8,101,1,8,106,126,2.99,2.29,0,0,US
9,101,1,9,116,94,2.29,2.29,0,0,US
10,101,1,10,145,91,2.49,2.99,0,0,US
11,101,1,11,123,104,2.79,2.99,0,0,US
12,101,1,12,169,73,2.49,3.19,0,0,US
13,101,1,13,107,79,2.49,2.59,0,0,US
14,101,1,14,113,102,2.29,2.29,0,0,US
15,101,1,15,103,99,2.79,2.59,0,0,US
16,101,1,16,101,121,2.99,2.29,0,0,US
17,101,1,17,97,130,2.99,2.59,0,1,US
18,101,1,18,157,72,2.29,2.99,0,0,US
19,101,1,19,104,106,2.79,2.59,0,0,US
20,101,1,20,145,77,2.29,2.99,0,0,US
21,101,1,21,100,115,2.49,2.49,0,0,US
22,101,1,22,135,90,2.19,2.59,0,0,US
23,101,1,23,103,121,2.99,2.49,0,0,US
24,101,1,24,115,131,2.79,2.29,0,0,US
25,101,1,25,121,91,2.19,2.49,0,0,US
26,101,1,26,93,113,2.79,2.59,0,0,US
27,101,1,27,135,99,2.29,2.49,0,0,US
28,101,1,28,128,97,2.49,2.59,0,0,US
29,101,1,29,121,113,2.99,2.99,0,0,US
30,101,1,30,111,133,2.99,2.29,1,0,US
31,101,1,31,122,87,2.79,3.19,0,0,US
32,101,1,32,160,74,2.19,2.59,0,0,US
33,101,1,33,120,77,2.79,2.99,0,0,US
34,101,1,34,174,122,2.29,2.49,1,1,US
35,101,1,35,113,123,2.79,2.29,0,0,US
36,101,1,36,173,77,2.79,3.19,1,0,US
37,101,1,37,117,94,2.99,3.19,0,0,US
38,101,1,38,122,95,2.79,2.99,0,0,US
39,101,1,39,133,102,2.99,3.19,0,0,US
40,101,1,40,183,57,2.29,3.19,0,0,US
41,101,1,41,95,124,2.99,2.29,0,0,US
42,101,1,42,128,132,2.79,2.29,1,0,US
43,101,1,43,142,90,2.19,2.29,0,0,US
44,101,1,44,89,131,2.79,2.29,0,0,US
45,101,1,45,121,87,2.49,2.59,0,0,US
46,101,1,46,129,110,2.49,2.59,0,0,US
47,101,1,47,185,84,2.29,2.99,0,0,US
48,101,1,48,143,72,2.19,2.99,0,0,US
49,101,1,49,129,104,2.29,2.29,0,0,US
50,101,1,50,121,105,2.29,2.29,0,0,US
51,101,1,51,140,86,2.19,2.59,0,0,US
52,101,1,52,152,77,2.29,2.99,0,0,US
53,101,2,1,134,86,2.79,3.19,0,0,US
54,101,2,2,121,87,2.19,2.29,0,0,US
55,101,2,3,131,144,2.49,2.59,0,1,US
56,101,2,4,140,85,2.29,2.49,0,0,US
57,101,2,5,170,74,2.29,2.49,1,0,US
58,101,2,6,118,97,2.99,2.99,0,0,US
59,101,2,7,99,95,2.99,2.99,0,0,US
60,101,2,8,119,101,2.29,2.29,0,0,US
61,101,2,9,133,111,2.79,2.49,0,0,US
62,101,2,10,112,92,2.19,2.29,0,0,US
63,101,2,11,123,103,2.49,2.59,0,0,US
64,101,2,12,146,111,2.19,2.49,0,1,US
65,101,2,13,104,111,2.79,2.59,0,0,US
66,101,2,14,133,124,2.99,3.19,0,1,US
67,101,2,15,157,63,2.49,3.19,0,0,US
68,101,2,16,169,80,2.29,2.99,0,0,US
69,101,2,17,116,129,2.79,2.59,0,0,US
70,101,2,18,120,119,2.79,2.49,0,0,US
71,101,2,19,158,93,2.19,2.49,0,0,US
72,101,2,20,152,89,2.49,2.99,0,0,US
73,101,2,21,112,91,2.29,2.29,0,0,US
74,101,2,22,175,70,2.29,2.99,0,0,US
75,101,2,23,131,124,2.99,2.99,0,1,US
76,101,2,24,125,103,2.79,2.99,0,0,US
77,101,2,25,136,87,2.29,2.59,0,0,US
